end_day,n,roi,pnl,clv5_mean,clv5_n,clv5_pos,clvC_mean,clvC_n,clvC_pos,wr
2026-07-28,3,-0.014333333333333384,-0.4300000000000015,,0,,,0,,0.5
2026-07-29,27,-0.01407407407407409,-3.8000000000000043,-0.11569375659657433,2,0.5,1.44211034923577,2,1.0,0.5416666666666666
2026-07-30,41,-0.03858536585365856,-15.820000000000007,-1.778146117586104,7,0.2857142857142857,-2.6171606628355653,9,0.2222222222222222,0.5263157894736842
2026-07-31,72,-0.015361111111111119,-11.060000000000006,-0.5457856760053853,20,0.25,-1.7385293643398585,20,0.4,0.5223880597014925
2026-08-01,117,-0.044682017543859656,-40.75000000000001,-0.40535459035057964,26,0.23076923076923078,-1.8702132606102475,28,0.35714285714285715,0.49504950495049505
2026-08-02,138,-0.04265199161425577,-40.690000000000005,-0.674334681825686,31,0.22580645161290322,-1.8349959713827992,33,0.3333333333333333,0.5042016806722689
2026-08-03,148,-0.03708333333333334,-35.60000000000001,-0.6970429079937926,35,0.2,-2.1012331853695,35,0.3142857142857143,0.5163934426229508
2026-08-04,164,-0.03160083160083161,-30.400000000000006,-0.8322225746131814,43,0.18604651162790697,-2.1277833869292486,44,0.29545454545454547,0.5303030303030303
2026-08-05,151,-0.04272849462365592,-31.790000000000003,-1.1347215203346122,48,0.16666666666666666,-2.499905661660377,47,0.2553191489361702,0.512396694214876
2026-08-06,154,-0.01976114649681529,-12.410000000000002,-1.1245905101201012,51,0.13725490196078433,-2.2941155387397236,51,0.3333333333333333,0.5294117647058824
2026-08-07,136,-0.05987500000000001,-19.160000000000004,-1.6936068847848935,46,0.08695652173913043,-2.5951213457803646,42,0.2619047619047619,0.5274725274725275
